SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015
040,2,3,26,Michigan,9883640,9884129,9877369,9876589,9886879,9900506,9916306,9922576,-6760,-780,10290,13627,15800,6270,29102,113984,113080,113008,114148,114521,22145,89873,89050,92315,91505,90822,6957,24111,24030,20693,22643,23699,3796,17972,19598,21268,24255,24202,-18052,-43108,-33437,-28825,-28797,-38911,-14256,-25136,-13839,-7557,-4542,-14709,539,245,99,491,-2301,-2720,11.540370796,11.443335755,11.422226838,11.520319212,11.545106221,9.0992397574,9.0115763084,9.3306922567,9.2350878638,9.1559594941,2.4411310381,2.4317594463,2.0915345812,2.285231348,2.3891467271,1.8195847131,1.9832551655,2.1496524174,2.4479214921,2.4398552297,-4.364492422,-3.383717878,-2.913472397,-2.906320149,-3.922700886,-2.544907709,-1.400462712,-0.763819979,-0.458398657,-1.482845656
040,2,4,27,Minnesota,5303925,5303925,5310903,5348119,5380443,5420541,5457125,5489594,6978,37216,32324,40098,36584,32469,17500,68372,68059,68962,69688,69852,9345,39982,39309,41318,40302,40142,8155,28390,28750,27644,29386,29710,2789,12569,12501,13587,15455,15473,-3914,-3716,-8731,-1575,-6545,-12242,-1125,8853,3770,12012,8910,3231,-52,-27,-196,442,-1712,-472,12.828944344,12.687441243,12.76957729,12.813042798,12.762180156,7.5020015908,7.327915894,7.65078441,7.4100455006,7.3340696879,5.3269427533,5.3595253492,5.1187928804,5.4029972974,5.4281104685,2.3583777198,2.330414831,2.5158818863,2.8416022334,2.8269657785,-0.69724971,-1.627617942,-0.291640095,-1.203383152,-2.236651914,1.6611280097,0.7027968893,2.2242417913,1.6382190812,0.5903138648
040,3,6,28,Mississippi,2967297,2968103,2970316,2977999,2985660,2990976,2993443,2992333,2213,7683,7661,5316,2467,-1110,9421,39741,39421,38486,38573,38548,6645,29129,29019,30633,29933,29802,2776,10612,10402,7853,8640,8746,579,1843,2778,2400,2582,2770,-1048,-5779,-5659,-4776,-9007,-12230,-469,-3936,-2881,-2376,-6425,-9460,-94,1007,140,-161,252,-396,13.362103386,13.220407136,12.878816779,12.891142816,12.879867205,9.7940341088,9.7319447675,10.250917071,10.003644464,9.957606165,3.5680692768,3.4884623685,2.6278997081,2.887498352,2.9222610402,0.6196712851,0.9316428052,0.803127378,0.8629074936,0.9255274504,-1.943071273,-1.897828162,-1.598223482,-3.010150192,-4.08635405,-1.323399988,-0.966185357,-0.795096104,-2.147242698,-3.1608266
040,2,4,29,Missouri,5988927,5988927,5996052,6010587,6025468,6043708,6063827,6083672,7125,14535,14881,18240,20119,19845,19012,76238,75429,75176,75643,75559,13179,55976,55632,57575,56434,56491,5833,20262,19797,17601,19209,19068,1856,7573,8791,8922,10021,10210,-276,-13426,-13454,-7792,-8126,-8744,1580,-5853,-4663,1130,1895,1466,-288,126,-253,-491,-985,-689,12.699307441,12.53384103,12.457519884,12.495194108,12.440256221,9.3241747337,9.2442249558,9.5408336079,9.3221287405,9.3008445607,3.3751327078,3.2896160744,2.9166862758,3.173065368,3.13941166,1.2614687591,1.4607776385,1.4784770725,1.6553328155,1.6810044603,-2.236429362,-2.235616238,-1.291223195,-1.342304606,-1.439637904,-0.974960603,-0.7748386,0.1872538771,0.3130282093,0.2413665562
040,4,8,30,Montana,989415,989417,990643,997746,1005157,1014402,1023252,1032949,1226,7103,7411,9245,8850,9697,3068,11999,12037,12207,12520,12593,2389,9125,8964,9439,9077,9204,679,2874,3073,2768,3443,3389,202,608,742,671,718,751,408,3432,3573,5683,4447,5268,610,4040,4315,6354,5165,6019,-63,189,23,123,242,289,12.069066968,12.019553618,12.088777798,12.288641742,12.248802525,9.1782845308,8.9510076125,9.3475852897,8.9092652629,8.9524321795,2.8907824374,3.0685460055,2.7411925079,3.379376479,3.2963703451,0.6115503556,0.740924548,0.6645015075,0.7047320104,0.7304733341,3.452040823,3.5678213074,5.627961352,4.3648234686,5.1240126816,4.0635911786,4.3087458554,6.2924628595,5.069555479,5.8544860157
040,2,4,31,Nebraska,1826341,1826341,1830025,1842383,1855973,1869300,1882980,1896190,3684,12358,13590,13327,13680,13210,6515,25730,25766,26020,26147,26256,3656,15620,15217,16172,14670,14697,2859,10110,10549,9848,11477,11559,799,3315,4052,4172,4730,4825,114,-1163,-919,-488,-2500,-2775,913,2152,3133,3684,2230,2050,-88,96,-92,-205,-27,-399,14.012604264,13.933758675,13.969445998,13.936593218,13.895114536,8.5066800857,8.2290617777,8.6823167054,7.8192458985,7.7778983216,5.5059241784,5.7046968978,5.2871292923,6.1173473195,6.1172162141,1.8053549606,2.1912438932,2.2398358456,2.5211338173,2.5534707356,-0.633371891,-0.496977576,-0.261994222,-1.332523159,-1.468576433,1.1719830694,1.6942663173,1.977841624,1.1886106581,1.0848943022
040,4,8,32,Nevada,2700551,2700691,2703440,2718819,2754874,2790366,2838281,2890845,2749,15379,36055,35492,47915,52564,8892,35847,34709,35092,35380,36036,4945,20193,20402,21254,22083,22345,3947,15654,14307,13838,13297,13691,1538,7456,7164,7672,8963,9156,-2731,-7410,14524,13437,23452,27959,-1193,46,21688,21109,32415,37115,-5,-321,60,545,2203,1758,13.222164415,12.682114251,12.656620814,12.571404815,12.579929295,7.4481871855,7.4545649528,7.6656736228,7.8466459169,7.8004917329,5.7739772298,5.2275492981,4.9909471907,4.7247588985,4.7794375617,2.7501452808,2.6176111813,2.7670578731,3.1847795749,3.1962990515,-2.733178183,5.3068376323,4.8463186445,8.3330860862,9.7603020077,0.016967098,7.9244488136,7.6133765175,11.517865661,12.956601059
040,1,1,33,New Hampshire,1316470,1316466,1316708,1318344,1321393,1322660,1327996,1330608,242,1636,3049,1267,5336,2612,3269,12993,12369,12597,12319,12562,2519,10736,10501,10867,10971,10980,750,2257,1868,1730,1348,1582,416,1762,1816,1906,2233,2244,-923,-2170,-578,-2580,1894,-1167,-507,-408,1238,-674,4127,1077,-1,-213,-57,211,-139,-47,9.861664969,9.3713881345,9.5285533233,9.2950575254,9.4500722936,8.148605796,7.9560956262,8.2199562566,8.2779508167,8.2599740315,1.713059173,1.4152925083,1.3085970667,1.0171067087,1.1900982621,1.3373550123,1.375894644,1.4417260168,1.6848659351,1.6881039824,-1.647026321,-0.437922414,-1.951549383,1.4290801975,-0.877904344,-0.309671308,0.9379722298,-0.509823366,3.1139461326,0.8101996386
040,1,2,34,New Jersey,8791894,8791936,8803881,8842934,8874893,8907384,8938844,8958013,11945,39053,31959,32491,31460,19169,26529,106684,104516,103462,102690,103006,17104,71064,69042,72425,71569,72065,9425,35620,35474,31037,31121,30941,11089,49032,46157,49859,57086,57083,-8503,-44996,-49289,-45678,-55474,-65254,2586,4036,-3132,4181,1612,-8171,-66,-603,-383,-2727,-1273,-3601,12.091020391,11.797835028,11.636530012,11.50831425,11.511071469,8.0540312799,7.7935065062,8.1457509632,8.020630466,8.0533693709,4.0369891111,4.0043285218,3.4907790493,3.4876837839,3.4577020982,5.5570367797,5.2102326092,5.6077182916,6.3975423826,6.3791089128,-5.099617126,-5.563774835,-5.137474801,-6.216887961,-7.292230139,0.4574196533,-0.353542226,0.4702434902,0.1806544218,-0.913121226
040,4,8,35,New Mexico,2059179,2059192,2064741,2078226,2084792,2086890,2085567,2085109,5549,13485,6566,2098,-1323,-458,6649,27803,27038,26732,26299,26286,3810,16374,16458,16800,17112,17050,2839,11429,10580,9932,9187,9236,512,2188,3147,3013,3435,3631,2093,92,-7117,-10658,-14099,-13352,2605,2280,-3970,-7645,-10664,-9721,105,-224,-44,-189,154,27,13.421782022,12.989614746,12.815933717,12.606001692,12.60515082,7.9044800502,7.9067637949,8.0543051939,8.2023613425,8.1761325982,5.5173019722,5.0828509509,4.761628523,4.4036403491,4.4290182215,1.0562478533,1.5118839265,1.4445012827,1.6465118754,1.7412045433,0.0444126154,-3.419154085,-5.109689569,-6.758128364,-6.402798971,1.1006604687,-1.907270158,-3.665188286,-5.111616489,-4.661594427
040,1,2,36,New York,19378102,19378087,19402920,19523202,19606981,19691032,19748858,19795791,24833,120282,83779,84051,57826,46933,61414,243118,239923,239873,236966,238831,35134,149739,146894,152580,152921,154974,26280,93379,93029,87293,84045,83857,24096,112765,108440,117292,134010,134160,-24399,-84753,-116322,-109276,-160329,-157992,-303,28012,-7882,8016,-26319,-23832,-1144,-1109,-1368,-11258,100,-13092,12.491252018,12.262810015,12.207894582,12.016564955,12.079055247,7.6934969273,7.5079638651,7.7652781071,7.7546362325,7.8379251767,4.797755091,4.7548461503,4.4426164753,4.2619287224,4.2411300705,5.7937957447,5.542524552,5.9693603338,6.7956578986,6.7852416644,-4.354556562,-5.945384922,-5.561400776,-8.130296509,-7.990562769,1.4392391824,-0.40286037,0.4079595576,-1.334638611,-1.205321104
040,3,5,37,North Carolina,9535483,9535692,9558979,9651025,9747021,9845432,9940387,10042802,23287,92046,95996,98411,94955,102415,29914,121043,119567,119385,119926,120676,18680,79938,79503,84312,84610,85357,11234,41105,40064,35073,35316,35319,5097,18006,23515,21660,23531,25066,6944,30572,31760,38379,34337,38197,12041,48578,55275,60039,57868,63263,12,2363,657,3299,1771,3833,12.602079625,12.327736515,12.186835411,12.122419598,12.077751954,8.3225386106,8.1970111835,8.6065792783,8.5525901152,8.5428807184,4.2795410142,4.1307253318,3.5802561323,3.5698294824,3.534871236,1.8746482302,2.4244710008,2.2110554508,2.3785722491,2.5087086951,3.1829248968,3.2745566229,3.9177330169,3.4708697173,3.8229133498,5.057573127,5.6990276237,6.1287884677,5.8494419665,6.3316220449
040,2,4,38,North Dakota,672591,672591,674530,685326,702265,723626,740040,756927,1939,10796,16939,21361,16414,16887,2341,9197,9875,10249,10933,11170,1493,6054,5935,6227,5892,5879,848,3143,3940,4022,5041,5291,287,1036,1708,1574,1685,1767,842,6143,11107,15857,9133,9966,1129,7179,12815,17431,10818,11733,-38,474,184,-92,555,-137,13.52643221,14.233300735,14.375572887,14.93920061,14.923508668,8.9038839407,8.55439391,8.7341879569,8.0510171036,7.8545485639,4.6225482698,5.6789068248,5.6413849305,6.8881835063,7.068960104,1.5236907437,2.461820522,2.207742387,2.3024378513,2.360773484,9.0347801532,16.009040128,22.241531786,12.479623083,13.314922774,10.558470897,18.47086065,24.449274173,14.782060935,15.675696258
040,2,3,39,Ohio,11536504,11536725,11540766,11545442,11551783,11572232,11596998,11613423,4041,4676,6341,20449,24766,16425,34809,137935,137693,139092,139156,139884,26464,110708,111384,114449,111796,111722,8345,27227,26309,24643,27360,28162,3530,15715,16939,17915,20652,20693,-7713,-36821,-37114,-21727,-18624,-31297,-4183,-21106,-20175,-3812,2028,-10604,-121,-1445,207,-382,-4622,-1133,11.949558802,11.922904158,12.030090795,12.012138513,12.053551291,9.590834493,9.6447949916,9.8987135236,9.6503854466,9.6268826834,2.3587243085,2.2781091668,2.1313772716,2.3617530665,2.4266686072,1.3614189043,1.4667562878,1.5494714045,1.7827092225,1.7830783854,-3.1898699,-3.213719397,-1.879171934,-1.607649456,-2.696805887,-1.828450996,-1.746963109,-0.32970053,0.1750597668,-0.913727502
040,3,7,40,Oklahoma,3751351,3751616,3759596,3786626,3817679,3853405,3879610,3911338,7980,27030,31053,35726,26205,31728,13144,52555,52351,53344,53547,53966,8174,37639,36946,38593,38034,38052,4970,14916,15405,14751,15513,15914,1245,4972,6594,6280,7001,7267,1679,6394,8967,14011,4294,8199,2924,11366,15561,20291,11295,15466,86,748,87,684,-603,348,13.928824251,13.768779658,13.907812768,13.848932144,13.853513077,9.9755877842,9.7171273377,10.061941702,9.8367842297,9.768259267,3.9532364672,4.0516523206,3.8458710659,4.0121479138,4.0852538099,1.3177454891,1.7342807791,1.6373174899,1.8106779826,1.865498268,1.6946228192,2.3584009321,3.6529387502,1.1105629564,2.104750282,3.0123683083,4.0926817112,5.2902562402,2.921240939,3.97024855
040,4,9,41,Oregon,3831074,3831073,3837972,3868509,3899444,3928030,3971202,4028977,6899,30537,30935,28586,43172,57775,11877,45395,44911,45005,45603,46091,7774,32537,32938,33424,33913,33700,4103,12858,11973,11581,11690,12391,1389,6009,6026,6754,7990,8111,1505,11411,13028,9902,22738,34824,2894,17420,19054,16656,30728,42935,-98,259,-92,349,754,2449,11.780993167,11.563149262,11.499239729,11.546185756,11.522492184,8.4440615632,8.4804838546,8.5401752852,8.5864043492,8.4248114948,3.3369316034,3.0826654075,2.959064444,2.9597814066,3.0976806894,1.5594666359,1.5515026932,1.7257163678,2.0229814747,2.0277046301,2.9614035252,3.3542942394,2.5300626997,5.7570153655,8.7058052076,4.5208701611,4.9057969326,4.2557790674,7.7799968402,10.733509838
040,1,2,42,Pennsylvania,12702379,12702887,12712014,12745202,12772789,12783536,12793767,12802503,9127,33188,27587,10747,10231,8736,36101,142957,142116,141828,141509,141956,30132,127765,125575,130996,127952,128630,5969,15192,16541,10832,13557,13326,5495,26979,29242,30874,35943,35942,-1611,-6660,-17495,-30934,-33766,-41607,3884,20319,11747,-60,2177,-5665,-726,-2323,-701,-25,-5503,1075,11.231157405,11.138494406,11.099248425,11.06520105,11.091928629,10.037625481,9.8420757339,10.251552209,10.005120556,10.050683166,1.1935319243,1.2964186718,0.8476962161,1.060080494,1.0412454627,2.1195561997,2.2918732121,2.4161533397,2.810538703,2.8083779394,-0.52323082,-1.371189448,-2.420848851,-2.640309653,-3.251020559,1.5963253798,0.9206837639,-0.004695511,0.1702290503,-0.442642619
040,1,1,44,Rhode Island,1052567,1052931,1053219,1051856,1052393,1052856,1054907,1056298,288,-1363,537,463,2051,1391,2875,11004,11010,10870,10827,10984,2335,9763,9314,9637,9682,9533,540,1241,1696,1233,1145,1451,860,3989,3968,4087,4667,4727,-1132,-6469,-5137,-5049,-3263,-4693,-272,-2480,-1169,-962,1404,34,20,-124,10,192,-498,-94,10.454734392,10.464541031,10.326569446,10.273451047,10.405431969,9.2756790138,8.8525645016,9.1552115688,9.186991137,9.0308615222,1.1790553781,1.6119765294,1.1713578774,1.0864599103,1.3745704467,3.7898887213,3.7714167858,3.882676111,4.4283916171,4.4780113727,-6.146099308,-4.882502023,-4.796582257,-3.096173526,-4.445802279,-2.356210586,-1.111085238,-0.913906146,1.3322180909,0.0322090939
040,3,5,45,South Carolina,4625364,4625401,4635894,4672733,4721341,4768498,4829160,4896146,10493,36839,48608,47157,60662,66986,14180,57472,57522,56574,57448,57905,9684,42032,42082,44665,45006,45097,4496,15440,15440,11909,12442,12808,1594,5149,6682,5577,6169,6803,4333,14932,26324,28597,39255,45582,5927,20081,33006,34174,45424,52385,70,1318,162,1074,2796,1793,12.348115356,12.246443875,11.923068452,11.97125382,11.908108598,9.0307625389,8.9592651708,9.4132260832,9.3785379725,9.2741554867,3.3173528169,3.2871787044,2.5098423693,2.592715848,2.6339531116,1.1062855994,1.4225989704,1.175362406,1.2855219471,1.3990305292,3.2082067527,5.6043842107,6.026867263,8.1801206086,9.373895279,4.3144923521,7.0269831811,7.202229669,9.4656425557,10.772925808
040,2,4,46,South Dakota,814180,814191,816299,824289,834631,845270,853304,858469,2108,7990,10342,10639,8034,5165,3032,11787,11891,12047,12433,12344,1928,7293,7434,7287,6859,6972,1104,4494,4457,4760,5574,5372,261,1268,1535,1496,1668,1696,804,2013,4341,4467,422,-1780,1065,3281,5876,5963,2090,-84,-61,215,9,-84,370,-123,14.369238346,14.335832952,14.34251185,14.639338645,14.422473073,8.8907147925,8.9624575025,8.6755112355,8.0761862598,8.1459399114,5.4785235538,5.3733754491,5.6670006149,6.5631523855,6.2765331618,1.5457872421,1.8506015962,1.7810573361,1.9640003909,1.9815711546,2.4539982006,5.2335254262,5.318170535,0.4968873891,-2.079715009,3.9997854428,7.0841270224,7.0992278712,2.46088778,-0.098143854
040,3,6,47,Tennessee,6346105,6346275,6356585,6398408,6455469,6496130,6547779,6600299,10310,41823,57061,40661,51649,52520,19663,78616,80305,80270,80350,81261,14315,60201,60628,63513,62948,62474,5348,18415,19677,16757,17402,18787,1854,7928,9263,9153,10505,10843,3187,15712,27829,13236,23555,21425,5041,23640,37092,22389,34060,32268,-79,-232,292,1515,187,1465,12.327094182,12.495062774,12.395380678,12.319926488,12.360894117,9.4395974972,9.4334184153,9.8077465184,9.6517079351,9.5031380252,2.8874966846,3.0616443584,2.5876341601,2.6682185532,2.8577560918,1.2431210272,1.4412772115,1.4134162122,1.6107134755,1.6493665462,2.4636626614,4.3300554377,2.0439175117,3.611647398,3.2590314721,3.7067836886,5.7713326493,3.4573337238,5.2223608736,4.9083980183
040,3,7,48,Texas,25145561,25146105,25244363,25654464,26089741,26500674,26979078,27469114,98258,410101,435277,410933,478404,490036,92767,381746,378122,384413,392893,398088,40892,168056,169063,178601,181504,182479,51875,213690,209059,205812,211389,215609,15377,78610,82165,86600,99139,101558,29950,115222,141906,116921,162390,170103,45327,193832,224071,203521,261529,271661,1056,2579,2147,1600,5486,2766,15.000188511,14.615047231,14.619127839,14.693149662,14.622634302,6.6035313545,6.5345674941,6.7921502426,6.7877652088,6.7028488292,8.3966571568,8.0804797368,7.8269775966,7.9053844528,7.9197854724,3.0888727554,3.1758145671,3.2933757986,3.7075340215,3.7304452644,4.5274913703,5.4849040583,4.4464756553,6.0729526195,6.2482515489,7.6163641256,8.6607186254,7.7398514539,9.780486641,9.9786968133
040,4,8,49,Utah,2763885,2763888,2775426,2816440,2856343,2903685,2944498,2995919,11538,41014,39903,47342,40813,51421,13752,51915,50446,51858,50941,51516,3696,15002,15472,16276,15841,15582,10056,36913,34974,35582,35100,35934,989,4917,5116,5526,6355,6441,516,-922,-85,6069,-305,9303,1505,3995,5031,11595,6050,15744,-23,106,-102,165,-337,-257,18.568041509,17.785274,18.00616247,17.421137471,17.344236945,5.3656507506,5.4548182083,5.651361417,5.4174091337,5.2460963599,13.202390758,12.330455792,12.354801053,12.003728338,12.098140585,1.7586258326,1.8037002297,1.9187406728,2.1733246036,2.1685346332,-0.329764698,-0.029967654,2.1072814229,-0.104305902,3.1321033523,1.4288611351,1.7737325754,4.0260220957,2.069018702,5.3006379855
040,1,1,50,Vermont,625741,625745,625984,626687,626398,627129,626767,626042,239,703,-289,731,-362,-725,1654,6052,6092,5972,5965,5981,1329,5431,5457,5556,5470,5295,325,621,635,416,495,686,98,619,723,789,907,914,-159,-442,-1644,-519,-1495,-2223,-61,177,-921,270,-588,-1309,-25,-95,-3,45,-269,-102,9.6625530566,9.7232031347,9.5283149067,9.5143456874,9.5481434121,8.6710716541,8.7097044494,8.8645876794,8.724806523,8.4530044085,0.9914814025,1.0134986852,0.6637272273,0.7895391643,1.0951390036,0.9882882257,1.1539520463,1.2588480344,1.4466909536,1.4591210631,-0.705692077,-2.623924155,-0.828063536,-2.384567779,-3.54882508,0.2825961485,-1.469972109,0.4307844985,-0.937876826,-2.089704017
040,3,5,51,Virginia,8001024,8001045,8025787,8110783,8193374,8267875,8328098,8382993,24742,84996,82591,74501,60223,54895,25718,102327,102766,102496,102785,103357,14683,60440,60211,63419,62742,63347,11035,41887,42555,39077,40043,40010,7882,29401,35132,33752,37450,38801,5775,10979,5007,2850,-18235,-23813,13657,40380,40139,36602,19215,14988,50,2729,-103,-1178,965,-103,12.682620904,12.606110209,12.453004022,12.386739843,12.36986861,7.4910591284,7.385969112,7.7052476395,7.5611113612,7.5814319963,5.1915617755,5.2201410965,4.7477563823,4.8256284823,4.7884366137,3.6440210032,4.3095757726,4.100782389,4.5131430378,4.6437422907,1.3607600624,0.6141991886,0.3462677711,-2.197521049,-2.849963536,5.0047810656,4.9237749612,4.44705016,2.3156219885,1.7937787545
040,4,9,53,Washington,6724540,6724543,6743060,6823229,6897292,6973281,7063166,7170351,18517,80169,74063,75989,89885,107185,22244,86703,86714,87244,87491,88782,11830,49834,49436,51322,52576,53174,10414,36869,37278,35922,34915,35608,4556,20064,23397,23990,27203,27906,3607,23434,13317,15344,27825,40799,8163,43498,36714,39334,55028,68705,-60,-198,71,733,-58,2872,12.782124868,12.640044791,12.579725437,12.466260158,12.475061504,7.3467401439,7.2061403499,7.4001268729,7.4913544717,7.4716600261,5.4353847246,5.4339044414,5.1795985645,4.9749056866,5.0034014784,2.9579201799,3.4105118895,3.459121696,3.8760521092,3.9211671999,3.4547399071,1.9411799304,2.21245366,3.9646785258,5.732806586,6.4126600871,5.3516918199,5.671575356,7.840730635,9.653973786
040,3,5,54,West Virginia,1852994,1853011,1854225,1854948,1856283,1852985,1848751,1844128,1214,723,1335,-3298,-4234,-4623,5104,20462,20678,20934,20705,20764,5235,21910,21492,22247,21617,21704,-131,-1448,-814,-1313,-912,-940,255,1018,1127,1170,1344,1345,1215,1045,1041,-2632,-4150,-4685,1470,2063,2168,-1462,-2806,-3340,-125,108,-19,-523,-516,-343,11.033187182,11.143472341,11.287402258,11.18664324,11.245426671,11.813954216,11.582140804,11.995358653,11.679385024,11.754514567,-0.780767034,-0.438668463,-0.707956395,-0.492741784,-0.509087896,0.54890942,0.6073456489,0.6308522328,0.7261457867,0.7284289575,0.5634679213,0.5609998408,-1.419147929,-2.242191231,-2.537315737,1.1123773413,1.1683454897,-0.788295696,-1.516045445,-1.808886779
040,2,3,55,Wisconsin,5686986,5687289,5690204,5709720,5726422,5743653,5759432,5771337,2915,19516,16702,17231,15779,11905,17558,67792,67645,66890,66628,66859,11745,48488,47889,50037,48540,47984,5813,19304,19756,16853,18088,18875,1238,5872,6607,7216,8499,8569,-3853,-6202,-9525,-7620,-9443,-15568,-2615,-330,-2918,-404,-944,-6999,-283,542,-136,782,-1365,29,11.893412623,11.830038487,11.663393657,11.584370628,11.596624648,8.5067233782,8.3750271726,8.7247903784,8.4394751495,8.32277535,3.3866892446,3.4550113141,2.9386032785,3.144895478,3.2738492983,1.0301823065,1.1554595947,1.2582306567,1.47769055,1.4862842192,-1.088077429,-1.665771551,-1.328674834,-1.641820433,-2.700253556,-0.057895123,-0.510311957,-0.070444178,-0.164129883,-1.213969337
040,4,8,56,Wyoming,563626,563767,564516,567768,577080,583131,584304,586107,749,3252,9312,6051,1173,1803,1995,7471,7434,7509,7758,7695,1293,4447,4383,4615,4408,4606,702,3024,3051,2894,3350,3089,113,380,606,553,619,661,-94,-216,5516,2603,-2795,-1885,19,164,6122,3156,-2176,-1224,28,64,139,1,-1,-62,13.196335902,12.986876861,12.944197219,13.290675712,13.149227066,7.8549197904,7.6569116599,7.9554494829,7.5515981618,7.870739424,5.3414161112,5.3299652006,4.9887477364,5.7390775504,5.2784876424,0.6712096965,1.0586558216,0.9532748784,1.0604444787,1.1295177506,-0.381529722,9.6362137157,4.4871148438,-4.78827515,-3.221090711,0.2896799743,10.694869537,5.4403897222,-3.727830672,-2.09157296
040,X,X,72,Puerto Rico,3725789,3726157,3721526,3678736,3634487,3593079,3534888,3474182,-4631,-42790,-44249,-41408,-58191,-60706,9603,41243,40282,37871,35717,34422,7137,30257,29747,29396,28819,30039,2466,10986,10535,8475,6898,4383,-7097,-53776,-54784,-49883,-65089,-65089,0,0,0,0,0,0,-7097,-53776,-54784,-49883,-65089,-65089,0,0,0,0,0,0,11.146362115,11.016209953,10.47959991,10.021651335,9.8221304681,8.1772780477,8.1351272893,8.1344120552,8.0861766055,8.5714652586,2.9690840676,2.8810826636,2.3451878544,1.9354747293,1.2506652095,-14.53353949,-14.9821768,-13.8035405,-18.2629914,-18.57279211,0,0,0,0,0,-14.53353949,-14.9821768,-13.8035405,-18.2629914,-18.57279211
